"","Dept1","Title","Description","Dept2","Dept3","Dept4","Dept5","Dept6","Dept7","Dept8","Dept9","Dept10","Keywords"
"801","MENG365","Chemical Propulsion Systems","<p>Study of chemical propulsion systems. Topics include review of propulsion fundamentals; concepts of compressible fluid flow; development and application of relations for Fanno and Rayleigh flows; normal and oblique shock systems to various propulsion system components; engine performance characteristics; fundamentals of turbomachinery; liquid and solid rocket system components and performance.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"propulsion systems topics fundamentals concepts compressible fluid flow application relations fanno rayleigh flows oblique shock components engine performance characteristics turbomachinery liquid solid rocket"
"802","MENG383","Mechanical Engineering III: Dynamics","<p>Kinematics and dynamics of particles and systems of particles. Relative motion; systems with constraints. Rigid body mechanics; gyroscopes.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"kinematics particles systems relative rigid mechanics gyroscopes"
"803","MENG389","Mechanical Engineering IV: Fluid and Thermal Energy Science","<p>Fundamentals of mechanical engineering applicable to the calculation of energy and power requirements, as well as transport of heat by conduction, convection, and radiation.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"fundamentals mechanical engineering applicable calculation well heat conduction convection radiation"
"804","MENG390","Mechatronics Laboratory","<p>Hands-on synthesis of control systems, electrical engineering, and mechanical engineering. Review of Laplace transforms, transfer functions, software tools for solving ODEs. Review of electronic components and introduction to electronic instrumentation. Introduction to sensors; mechanical power transmission elements; programming microcontrollers; PID control.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"handson control systems electrical engineering mechanical laplace transforms transfer software solving odes electronic components instrumentation sensors programming microcontrollers pid"
"805","MENG403","Introduction to Nanomaterials and Nanotechnology","<p>Survey of nanomaterial synthesis methods and current nanotechnologies. Approaches to synthesizing nanomaterials; characterization techniques; device applications that involve nanoscale effects.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nanomaterial methods nanotechnologies synthesizing nanomaterials techniques applications involve nanoscale"
"808","MGRK120","Elementary Modern Greek II","<p>Continuation of MGRK 110.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgrk 110"
"809","MGRK303","The Greek Civil War","<p>An in-depth look into the Greek civil war, one of the major European civil wars of the twentieth century, including its relation to World War II and the Cold War. Focus on readings from the field of history, with some attention to other disciplines and areas such as anthropology and fiction.</p>","PLSC392",NA,NA,NA,NA,NA,NA,NA,NA,"indepth look greek civil war european wars including world cold focus disciplines anthropology fiction"
"814","MMES193","The Golden Age of Islam","<p>The development of Islamic civilization in the Middle East, North Africa, Spain, Iran, and India from Muhammad through the Mongol invasions to the rise of the Ottoman, Safavid, and Mughal empires (600–1500 C.E.). Emphasis on the intellectual and religious history of Islam in the age of the caliphates and during the rule of regional dynasties.</p>
","RLST535","RLST155",NA,NA,NA,NA,NA,NA,NA,"civilization east africa spain iran india muhammad mongol invasions ottoman safavid mughal empires 6001500 ce emphasis caliphates regional dynasties"
"815","MMES292","Salafiyya Movement in Islam","<p>Close study of the development of the Salafiyya movement, a widely spread modernist reform movement of Muslim intellectuals active since the eighteenth and nineteenth centuries. Further development of the movement during the twentieth century; what ""Salafism"" means today.</p>","RLST723","RLST292",NA,NA,NA,NA,NA,NA,NA,"salafiyya movement widely spread modernist intellectuals active nineteenth centuries salafism"
"816","MMES138","Introduction to the Quran","<p>Introduction to the study of the Quran. Topics include: the literary, historical, and theological reception of the Quran; its collection and redaction; the scriptural milieu of late antiquity; education and religious authority; ritual performance and calligraphic expression; the diversity of Muslim exegesis.</p>","RLST165",NA,NA,NA,NA,NA,NA,NA,NA,"quran topics literary historical theological collection redaction scriptural milieu late authority performance calligraphic expression diversity exegesis"
"817","MUSI010","Music and Diplomacy","<p>The history of music in cultural diplomacy, with a focus on theoretical frameworks that grew up around musical practices as a result of music's diplomatic functions. Scores, instruments, and performers mobilized in the service of diplomacy; the influence of past practices on contemporary policy; state-sponsored musical tours; diplomatic patronage; universal vs. national music, including the use of such labels to further diplomatic goals.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cultural focus theoretical frameworks grew musical practices musics diplomatic scores performers mobilized service contemporary policy statesponsored tours patronage universal vs national including use labels"
"818","MUSI107","Exploring the Nature of Genius","<p>The changing meanings of the term ""genius"" in Western culture; discussion as to whether genius is a reality. Focus on the special talents needed to respond to and shape the world in a defining fashion, and the quirky patterns of thought exemplified by great minds, principally Leonardo da Vinci, Newton, Mozart, Woolf, Beethoven, van Gogh, Picasso, and&#160;Joyce. Recent developments in neurobiology that suggest future lines of research into the minds of exceptional individuals.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"term genius western culture discussion reality focus special talents needed respond world defining fashion quirky patterns thought exemplified great minds principally leonardo da vinci newton mozart beethoven van gogh picasso recent neurobiology suggest future lines joyce"
"819","MUSI110","Introduction to the Elements of Music","<p>The fundamentals of musical language (notation, rhythm, scales, keys, melodies, and chords), including writing, analysis, singing, and dictation.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"fundamentals musical language notation rhythm scales keys melodies chords including writing singing dictation"
"820","MUSI131","Introduction to the History of Western Music: 1800 to the Present","<p>A survey of nineteenth- and twentieth-century composers, genres, and styles of music in Europe and America, with an emphasis on ways of listening.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nineteenth twentiethcentury composers europe emphasis"
"821","MUSI210","Elementary Studies in Analysis and Model Composition I","<p>Practical investigation of the basic principles of tonal harmony, counterpoint, and composition through exercises in analysis, motivic development, phrase rhythm, texture, form, performance, and model composition.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"tonal harmony counterpoint composition motivic phrase rhythm texture performance model"
